Date,Sales,GrowthRate
31-03-2022,323,0.00308642
30-06-2022,377,-0.167182663
30-09-2022,332,0.119363395
31-12-2022,384,-0.156626506
31-03-2023,355,0.075520833
30-06-2023,373,-0.050704225
30-09-2023,384,-0.029490617
31-12-2023,437,-0.138020833
31-03-2024,380,0.130434783
30-06-2024,416,-0.094736842
30-09-2024,441,-0.060096154
31-12-2024,603,-0.367346939
31-03-2025,563,0.066334992
30-06-2025,616,-0.094138544
30-09-2025,637,-0.034090909
31-12-2025,669,-0.050235479
